Q260,Jean-François Champollion
Q11884,Ferdinand Augustin Hallerstein
Q11885,Axl Rose
Q11891,James K. Polk
Q11893,Maximilian Hell
Q11896,Zachary Taylor
Q11903,Hypatia
Q11900,Kiyotsugu Hirayama
Q11901,Beck
Q11907,Mark Oliver Everett
Q11926,José Santos Gollán
Q11924,Luis Miró Quesada de la Guerra
Q11930,Kevin Costner
Q11931,Tim Matavž
Q11941,Carl Barks
Q11946,Menno Koch
Q11944,Orlando Engelaar
Q11950,Boy Waterman
Q11951,Mark Rocco
Q11948,Michael Ballack
Q11949,Dick Advocaat
Q11954,Dries Mertens
Q11952,Agustín Edwards Mac-Clure
Q11958,Phillip Cocu
Q11956,Ola Toivonen
Q11957,Enrique Santos Montejo
Q11960,Rafael Heliodoro Valle
Q11966,Bafétimbi Gomis
Q11964,Sylvia de Arruda Botelho Bittencourt
Q11970,Carlos Dávila
Q11975,Britney Spears
Q11973,José Ignacio Rivero
Q11976,Lorenzo Batlle Pacheco
Q11987,Assis Chateaubriand
Q11992,Alexander Grant Dexter
Q11998,Kylie Minogue
Q11996,Lee Hills
Q12002,Alberto Lleras Camargo
Q12003,Cher
Q12000,Carlos Víctor Aramayo
Q12006,Dave Grohl
Q12007,Eric Saade
Q12005,Manuel Cisneros Sánchez
Q12010,Eldar Qasımov
Q12015,Alfredo Silva Carvallo
Q12012,Nigar Jamal
Q12054,Bernard Werber
Q12060,Eduardo Rodríguez Larreta
Q12065,Ángel Ramos
Q12070,Lasse Kjus
Q12074,Pirmin Zurbriggen
Q12073,Elmano Cardim
Q12077,Carlos Lacerda
Q12082,Antonio Arias Bernal
Q12086,Ernesto Teodoro Moneta
Q12087,Austregésilo de Athayde
Q12085,Gian Luigi Bonelli
Q12091,Henry Dunant
Q12089,Jorge Délano Frederick
Q12092,Aurelio Galleppini
Q12096,Jules Dubois
Q12105,Sergio Bonelli
Q12109,Roberto Raviola
Q12113,Hugo Pratt
Q12149,Thein Sein
Q12154,Tutankhamon
Q12160,Rémi Garde
Q12306,Millard Fillmore
Q12304,Danton Pinheiro Jobim
Q12310,Carlos Ramírez MacGregor
Q12312,Franklin Pierce
Q12320,Pedro Beltrán
Q12325,James Buchanan
Q12332,Breno Caldas
Q12341,Roberto Noble
Q12349,Inna
Q12382,Shigeru Miyamoto
Q12456,Hippoliet Van Peene
Q12473,Albert Windey
Q12476,Filip Gijssels
Q12484,Józef Hebda
Q12488,Vladimir Korotkov
Q12492,Eugenia Maniokova
Q12498,Stefaan De Clerck
Q12499,Patrick Janssens
Q12500,Daniël Termont
Q12504,Vyacheslav Multino
Q12509,Svetlana Parkhomenko
Q12571,Edmond Privat
Q12591,Nebuchadnezzar
Q12610,Nebuchadnezzar I
Q12608,Hector Hodler
Q12614,Ivo Lapenna
Q12622,Gaston Waringhien
Q12628,Kálmán Kalocsay
Q12637,Yoshihide Kiryū
Q12658,Wilhelm Ostwald
Q12665,"Robert Baden-Powell, 1st Baron Baden-Powell"
Q12674,Rudolf Diesel
Q12680,Paul Doumer
Q12688,Jean Jaurès
Q12696,Nitobe Inazō
Q12702,Robert Cecil
Q12706,Maxim Gorki
Q12712,Johann Martin Schleyer
Q12718,Auguste Comte
Q12735,Johann Amos Comenius
Q12737,Vicente Zarazúa
Q12742,François Sudre
Q12747,Lance Tingay
Q12744,Nina Teplyakova
Q12750,Josep Puig i Cadafalch
Q12749,Kazimierz Bein
Q12754,Joan Abril i Guanyabens
Q12759,Manuel Cusachs i Xivillé
Q12756,Damià Campeny i Estrany
Q12763,Lev Urusov
Q12764,Miquel Biada i Bunyol
Q12769,Willem Drees
Q12773,Julio Baghy
Q12777,Joan Herrera i Torres
Q12780,Rashad Khalifa
Q12785,Joan Saura Laporta
Q12795,William Auld
Q12801,Claude Piron
Q12807,Umberto Eco
Q12811,John C. Wells
Q12819,Małgorzata Handzlik
Q12817,Probal Dasgupta
Q12823,Susan Polgar
Q12827,Beth Ditto
Q12830,Reinhard Selten
Q12833,Boris Kolker
Q12839,Cem Özdemir
Q12836,Renato Corsetti
Q12847,Ambiorix
Q12844,Bertilo Wennergren
Q12849,Trevor Sargent
Q12854,Sonja Lang
Q12857,Daniel Tammet
Q12862,Jorge Camacho
Q12860,Ferdinand II of Aragon
Q12865,Bertalan Farkas
Q12871,Simon the Zealot
Q12869,Kris Peeters
Q12878,Tron Øgrim
Q12883,Gerrit Berveling
Q12881,Paulo Coelho
Q12890,Franko Luin
Q12889,Detlev Blanke
Q12898,Humphrey Tonkin
Q12897,Pelé
Q12903,Hisashi Inoue
Q12906,Helmar Frank
Q12907,Michel Duc-Goninaz
Q12904,Jan Stanisław Skorupski
Q12905,Victor Sadler
Q12911,Christopher Loeak
Q12908,George Soros
Q12909,Claude Hagège
Q12914,Kessai Note
Q12915,Amata Kabua
Q12912,Jurelang Zedkaia
Q12913,Litokwa Tomeing
Q12917,Imata Kabua
Q12922,Pierre-Alain Muet
Q12923,Jean-Louis Touraine
Q12921,Thierry Braillard
Q12924,Dominique Nachury
Q12925,Philippe Cochet
Q12926,Pascale Crozon
Q12927,Marine Le Pen
Q12930,Patrice Verchère
Q12931,Bernard Perrut
Q12928,Hélène Geoffroy
Q12929,Ferdinand Peeters
Q12934,Christophe Guilloteau
Q12935,Étienne Lenoir
Q12932,Olivier Besancenot
Q12938,Alain Krivine
Q12939,Michel Terrot
Q12936,Magomet Isayev
Q12937,Georges Fenech
Q12942,Arlette Laguiller
Q12943,Yves Blein
Q12940,Jacques Chaban-Delmas
Q12941,Philippe Meunier
Q12946,Michel Rocard
Q12947,Muguette Dini
Q12944,François-Noël Buffet
Q12945,Christiane Demontès
Q12950,Alain Poher
Q12951,Baldur Ragnarsson
Q12948,Élisabeth Lamure
Q12949,Guy Fischer
Q12954,Georges Lagrange
Q12955,Michel Mercier
Q12952,André Cherpillod
Q12953,Henriette Walter
Q12959,Édouard Balladur
Q12956,Gérard Collomb
Q12957,Raymond Barre
Q12963,François Bayrou
Q12960,Michel Jobert
Q12961,Nicolas Dupont-Aignan
Q12967,Leopold II
Q12964,François-Xavier Villain
Q12971,Leopold I of Belgium
Q12969,Jacques Cheminade
Q12972,François Asselineau
Q12973,Leopold III of Belgium
Q12978,Guy Verhofstadt
Q12976,Baudouin of Belgium
Q12983,Herman Van Rompuy
Q12981,Yves Leterme
Q12984,Stephan El Shaarawy
Q12998,Georges Lemaître
Q12999,Polydoor Lippens
Q13002,Paul Gascoigne
Q13003,Arturo Toscanini
Q13000,Karel Lodewijk Ledeganck
Q13001,Paul Van Grembergen
Q13007,Lidia Zamenhof
Q13005,Ba Jin
Q13009,Sinha Laksmiswar
Q13014,Franz Jonas
Q13012,João Guimarães Rosa
Q13019,Raymond Schwartz
Q13017,Sándor Szathmári
Q13020,Tivadar Soros
Q13021,Vinoba Bhave
Q13054,Steed Malbranque
Q13055,Rémy Vercoutre
Q13057,Mathieu Gorgelin
Q13132,Erik Mongrain
Q13133,Michelle Obama
Q13183,Paula Creamer
Q13185,Henri Laaksonen
Q13230,Ferdinand de Saussure
Q13234,Albert Sechehaye
Q13236,Charles Bally
Q13237,René de Saussure
Q13242,Eduard Schwyzer
Q13240,Heinrich Schmid
Q13247,Rudolf Thurneysen
Q13245,Adolf Tobler
Q13306,Alexandre Lacazette
Q13304,Mouhamadou Dabo
Q13308,Samuel Umtiti
Q13309,Sidy Koné
Q13374,Heorhiy V. Zaborsky
Q13382,Henryk Julian Gay
Q13387,Iosif Langbard
Q13384,Vaĺmien Aladaŭ
Q13390,Navum Trakhtenberg
Q13388,Michael Osipovich Barshch
Q13407,Willem Duys
Q13478,Alexandre Ruiz
Q13479,Rodolphe Pires
Q13482,Christophe Josse
Q13483,Darren Tulett
Q13480,Karim Bennani
Q13481,Florian Genton
Q13487,Jean-Paul Ollivier
Q13484,Laurent Fignon
Q13485,Laurent Jalabert
Q13488,Grégory Coupet
Q13494,Jean-Pierre Papin
Q13501,Hani Al-Dhabit
Q13509,Léon Walras
Q13515,Frédéric Bastiat
Q13513,Jean-Baptiste Say
Q13526,Thomas Robert Malthus
Q13524,Alfred Sauvy
Q13530,Anne Aallonen
Q13531,Nanne Tenhovuori
Q13529,Alfred Marshall
Q13534,Harri Heliövaara
Q13535,Johanna Hyöty
Q13532,Merikukka Forsius
Q13533,Rolf Biese
Q13538,Henri Kontinen
Q13539,Micke Kontinen
Q13536,Lauri Kiiski
Q13542,Essi Laine
Q13543,Ella Leivo
Q13540,Emma Laine
Q13541,Tuomas Ketola
Q13546,Leo Palin
Q13547,Veli Paloheimo
Q13544,Curt Lincoln
Q13545,Heikki Hedman
Q13550,Olli Rahnasto
Q13551,Juho Paukku
Q13548,Herkko Pöllänen
Q13549,Ville Liukko
Q13554,Sakari Salo
Q13555,Piia Suomalainen
Q13552,Aki Rahunen
Q13553,Katriina Saarinen
Q13558,Saana Saarteinen
Q13559,Pekka Säilä
Q13556,Heini Salonen
Q13557,Timo Nieminen
Q13562,Kim Tiilikainen
Q13563,Ernst Schybergson
Q13560,Petra Thorén
Q13561,Katariina Tuohimaa
Q13575,François Quesnay
Q13651,Lyudmila Peterson
Q13702,Moctezuma I
Q13842,Craig Au Yeung Ying Chai
Q13888,Luchino Visconti
Q13894,Richard Strauss
Q13898,Guy Fawkes
Q13909,Angelina Jolie
Q13914,Yann Martel
Q13938,Grey DeLisle
Q13982,Alberto Bayo
Q14010,Ursula Martin
Q14027,Tony Romo
Q14039,German Goldenshteyn
Q14042,Willy Moon
Q14043,Bernard Madoff
Q14045,Moby
Q14051,Fee Plumley
Q14049,Spencer Fullerton Baird
Q14063,Herman Brusselmans
Q14060,Erwin Rommel
Q14073,Alexia Massalin
Q14078,Hank Mizell
Q14077,Juana Manuela Gorriti
Q14086,Marissa Mayer
Q14089,Lori McCreary
Q14095,Renée Miller
Q14098,Caryn Navy
Q14099,Evi Nemeth
Q14096,Johanna Moore
Q14097,Enid Mumford
Q14102,Wanda Orlikowski
Q14100,Klara Dan von Neumann
Q14101,Angela Orebaugh
Q14106,Stormy Peters
Q14107,Aaron Sopher
Q14104,Susan Owicki
Q14105,Meredith L. Patterson
Q14110,Nichole Pinkard
Q14111,Diane Pozefsky
Q14108,Jack Cowart
Q14109,Rosalind Picard
Q14113,Joanne Pransky
Q14120,Dana Randall
Q14135,Ri Kwang-chon
Q14210,Elizabeth Rather
Q14218,Colette Rolland
Q14223,Daniela L. Rus
Q14220,Dana Ron
Q14227,Reihaneh Safavi-Naini
Q14234,Sarit Kraus
Q14232,Jean E. Sammet
Q14239,Kaisa Sere
Q14237,Margo Seltzer
Q14243,Hava Siegelmann
Q14241,Mary Shaw
Q14250,Barbara Simons
Q14254,Karen Spärck Jones
Q14252,Diane Souvaine
Q14257,Ellen Spertus
Q14260,Katherine St. John
Q14261,Stella Atkins
Q14263,Ileana Streinu
Q14264,Maureen C. Stone
Q14278,John Frederick William Herschel
Q14279,Giovanni Domenico Cassini
Q14277,William Herschel
Q14282,Margherita Hack
Q14283,Mohammad Saeed Al-Hakim
Q14280,Giuseppe Piazzi
Q14281,Giovanni Schiaparelli
Q14286,Chris Evert
Q14292,Louis Hunter
Q14306,Boggis
Q14307,Nicolas Leblanc
Q14304,Taejong of Joseon
Q14313,Pharrell Williams
Q14321,Adel Ferdosipour
Q14342,Lee Myung-bak
Q14341,Cozy Powell
Q14345,Roh Moo-hyun
Q14356,Park Chung-hee
Q14362,Chun Doo-hwan
Q14421,Anton Stamitz
Q14430,Ignacy Daszyński
Q14439,Phoebe Cates Kline
Q14441,Liza Minnelli
Q14446,Hanna R. Hall
Q14450,Paulo Costanzo
Q14451,Maria Cristina of Savoy
Q14517,Mac DeMarco
Q14524,Charles Messier
Q14535,Fred Armisen
Q14538,Sharon Van Etten
Q14539,Jason Sudeikis
Q14536,Seth Meyers
Q14537,Bill Hader
Q14542,Tracy Morgan
Q14540,Tina Fey
Q14541,Terry Callier
Q14655,Pelagius
Q14678,Dietrich von Hildebrand
Q14691,Lauri Asikainen
Q14694,Vesa Hakala
Q14695,Veli-Matti Ahonen
Q14692,Harri Blumén
Q14693,Raimo Ekholm
Q14698,Janne Ahonen
Q14699,Seppo Hannula
Q14696,Lauri Hakola
Q14697,Niilo Halonen
Q14702,Matti Hautamäki
Q14703,Veikko Heinonen
Q14700,Janne Happonen
Q14701,Jussi Hautamäki
Q14706,Antti Hyvärinen
Q14707,Ensio Hyytiä
Q14704,Lassi Huuskonen
Q14705,Pentti Heino
Q14711,Mats Levén
Q14708,Pekka Hyvärinen
Q14715,Davor Slamnig
Q14718,Veikko Iivanainen
Q14719,Joonas Ikonen
Q14722,Erkki Järvinen
Q14723,Aulis Kallakorpi
Q14720,Antero Immonen
Q14721,Risto Jussilainen
Q14726,Ville Kantee
Q14727,Anssi Kankkonen
Q14724,Veikko Kankkonen
Q14725,Jukka Kalso
Q14730,Tami Kiuru
Q14731,Yrjö Kivivirta
Q14728,Kalle Keituri
Q14729,Eino Kirjonen
Q14734,Jani Klinga
Q14735,Pentti Kokkonen
Q14732,Anssi Koivuranta
Q14733,Mika Kojonkoski
Q14738,Akseli Kokkonen
Q14739,Olavi Kuronen
Q14736,Kai Kovaljeff
Q14737,Keijo Korhonen
Q14742,Julia Kykkänen
Q14743,Kalevi Kärkinen
Q14740,Pasi Kytösaho
Q14741,Juhani Kärkinen
Q14747,Sancho Gracia
Q14744,Tauno Käyhkö
Q14837,Louis Leakey
Q14962,Emil Adamič
Q14974,Vladimir the Great
Q14972,Bill Raisch
Q14980,Dmitry of Uglich
Q14990,Henri Carton de Wiart
Q14991,Georges Theunis
Q14989,Léon Delacroix
Q14994,Henri Jaspar
Q14995,Jules Renkin
Q14992,Aloys Van de Vyvere
Q14993,Prosper Poullet
Q14998,Camille Huysmans
Q14999,Gaston Eyskens
Q14996,Paul van Zeeland
Q14997,Achille Van Acker
Q15002,Leo Tindemans
Q15001,Aleksander Griboyedov
Q15023,CY Leung
Q15020,Carolyn Talcott
Q15027,Tung Chee Hwa
Q15024,Donald Tsang
Q15025,Audrey Tang
Q15030,Éva Tardos
Q15031,Xi Jinping
Q15029,Hu Jintao
Q15036,Jaime Teevan
Q15048,Elio Di Rupo
Q15056,Jean-Luc Dehaene
Q15079,Louis C.K.
Q15077,Patricio Escobal
Q15147,Jorge Batlle Ibáñez
Q15145,José Batlle y Ordóñez
Q15149,Óscar Tabárez
Q15153,Carl W. Ackerman
Q15156,Herbert Matthews
Q15189,Paul I of Russia
Q15193,Alexander I of Russia
Q15199,Jack Wilshere
Q15208,Catherine I of Russia
Q15223,Stanislav Pukhov
Q15253,Dmitry Puchkov
Q15257,Ron Paul
Q15269,Jelena Janković
Q15280,Gordon Ramsay
Q15313,Marilyn Tremaine
Q15387,John Gillies
Q15396,John Randall Gillis
Q15405,Elias Magnus Fries
Q15410,Theodor Magnus Fries
Q15414,Robert Elias Fries
Q15417,Thore Christian Elias Fries
Q15426,Franz Balthasar von Lindern
Q15435,Vincenzo Briganti
Q15443,William Hamilton
Q15451,W. D. Hamilton
Q15462,William Hamilton
Q15466,William Thomas Hamilton
Q15467,William McLean Hamilton
Q15469,William John Hamilton
Q15474,"Sir William Hamilton, 9th Baronet"
Q15472,William Hamilton
Q15482,William Jack
Q15480,Patrick Browne
Q15505,Angelo Taylor
Q15510,Kerron Clement
Q15512,Bershawn Jackson
Q15516,Samuel Wanjiru
Q15526,Jaouad Gharib
Q15530,Tsegaye Kebede
Q15532,Valeriy Borchin
Q15542,Jefferson Pérez
Q15546,Alex Schwazer
Q15547,Denis Nizhegorodov
Q15563,Andrey Silnov
Q15567,Germaine Mason
Q15571,Yaroslav Rybakov
Q15572,Johann Baptist von Spix
Q15573,Steve Hooker
Q15615,Lil Wayne
Q15717,Janez Gregorc
Q15723,Python of Byzantium
Q15738,Ossi Laaksonen
Q15739,Mika Laitinen
Q15737,Risto Laakkonen
Q15742,Veli-Matti Lindström
Q15743,Paavo Lukkariniemi
Q15740,Arttu Lappi
Q15741,Ville Larinto
Q15746,Tauno Luiro
Q15747,Olli Muotka
Q15744,Akseli Lajunen
Q15745,Markku Maatela
Q15750,Timo Murama
Q15751,Jarkko Määttä
Q15748,Jani Mattila
Q15749,Leo Laakso
Q15752,Topi Mattila
Q15753,Esko Mömmö
Q15756,Dmitry Pozharsky
Q15769,Nikolay Ozolin
Q15772,Markus Weinzierl
Q15773,Vladimir Dyachkov
Q15780,Grigory Isayevich Nikiforov
Q15784,Peter Vladimirov
Q15790,Cimabue
Q15794,Tomaž Šalamun
Q15795,Berlinghiero Berlinghieri
Q15792,Duccio di Buoninsegna
Q15798,Guido of Siena
Q15796,Coppo di Marcovaldo
Q15800,Fran Levstik
Q15802,Daniel Passarella
Q15803,Simon Jenko
Q15806,Dragotin Kette
Q15809,Ivan Cankar
Q15850,Oleksandr Turchynov
Q15849,José Manuel Durão Barroso
Q15852,Aleksandr Berkutov
Q15859,Lotf Ali Khan
Q15866,Curtis LeMay
Q15869,Freddie Mercury
Q15873,Brian May
Q15880,Roger Taylor
Q15897,Amy Winehouse
Q15902,Amy Macdonald
Q15904,Milan Jesih
Q15909,Jože Javoršek
Q15935,Kanye West
Q15944,Walter Breisky
Q15948,Émile Durkheim
Q15953,Fritz Mauthner
Q15956,Frans Schollaert
Q15969,Jean Améry
Q15975,Montesquieu
Q15983,Charly Gaul
Q15981,Robert Schuman
Q15985,Bim Diederich
Q15990,Gaston Geens
Q15991,Luc Van den Brande
Q15988,Jean of Luxembourg
Q15994,Hilde Crevits
Q15995,Kathleen Van Brempt
Q15992,Patrick Dewael
Q15993,Bart Somers
Q15998,Joseph van Crombrugghe
Q15999,Jean-Baptiste Minne-Barth
Q15996,Mathilde Schroyens
Q15997,Bob Cools
Q16002,Jo Vandeurzen
Q16001,Maurice Gourdault-Montagne
Q16004,"Henri, Grand Duke of Luxembourg"
Q16009,Sebastian Lybeck
Q16019,Wolfgang Schäuble
Q16053,Melchior de Vogüé
Q16057,Dana Ulery
Q16118,Manuela M. Veloso
Q16182,Maurice Williamson
Q16285,Mario Benedetti
Q16296,Patrick Stewart
Q16297,William Shatner
Q16319,Felice Rix-Ueno
Q16345,Leonard Nimoy
Q16349,DeForest Kelley
Q16371,Constança Capdeville
Q16372,Nalini Venkatasubramanian
Q16378,Vijaygupta Maurya
Q16379,Sabyasachi Chakraborty
Q16376,Kanji Swami
Q16382,Shrimad Rajchandra
Q16383,Esther David
Q16381,Virchand Gandhi
Q16386,Marie Poussepin
Q16390,Humphrey Bogart
Q16389,Charles K. Kao
Q16395,Réal Bouvier
Q16397,Bruce Lee
Q16400,Han Suyin
Q16409,Tristan Tzara
Q16426,Heinz Mellmann
Q16427,Clive Sarstedt
Q16428,Fritz Schediwy
Q16429,Norman Ascot
Q16433,Michael Leutert
Q16442,Aëtius of Antioch
Q16447,Franz Wurst
Q16445,Michèle Vergne
Q16450,Josef Schreiner
Q16448,Wilhelm von Wedell
Q16449,Bernd Baumgartl
Q16455,John Rhys-Davies
Q16457,Claudia Barainsky
Q16466,Ian Brady
Q16474,John McEnroe
Q16475,Mats Wilander
Q16472,Robert Mitchum
Q16473,Steve Martin
Q16478,Wang Xiaoyun
Q16479,Tandy Warnow
Q16476,Mazie Hirono
Q16477,Dorothea Wagner
Q16482,Telle Whitney
Q16480,Elaine Weyuker
Q16481,Sue Whitesides
Q16486,Gail Williams
Q16487,Myra Wilson
Q16484,Mary Allen Wilkes
Q16490,Jeannette Wing
Q16489,Sophie Wilson
Q16494,Margaret H. Wright
Q16492,Mary Lee Woods
Q16493,Beatrice Helen Worsley
Q16498,Kateryna Yushchenko
Q16496,Irma Wyman
Q16497,Frances Yao
Q16500,Maria Zemankova
Q16571,Justus von Liebig
Q16574,Chiang Kai-shek
Q16581,Josef Stefan
Q16597,Jiang Zemin
Q16628,Wen Jiabao
Q16758,Ed O'Neill
Q16759,Kaley Cuoco
Q16766,Andy Lau
Q16783,Fernando César de Souza
Q16781,Jacky Cheung
Q16785,Conrad of Parzham
Q16791,Joachim Heinrich Wilhelm Wagener
Q16794,Ralf Schmitt
Q16793,Daniel Boemle
Q16801,Prince Emmanuel
Q16806,Karl-Heinz Vorsatz
Q16807,Leonard B. Jordan
Q16804,Dietrich Haarer
Q16811,Hiltrud Grote
Q16809,Nína Tryggvadóttir
Q16815,Franz Maciejewski
Q16818,Anna Samuil
Q16826,Sergei Nikolayevich Tereschenko
Q16824,Carl Junker
Q16825,Peter Schüler
Q16836,Leon Lai
Q16842,Sami Niemi
Q16843,Pekka Niemelä
Q16846,Ari-Pekka Nikkola
Q16847,Tommi Nikunen
Q16844,Anssi Nieminen
Q16845,Toni Nieminen
Q16850,Toivo Nykänen
Q16851,Unto Oksanen
Q16848,Paavo Nuotio
Q16849,Matti Nykänen
Q16854,Aatto Pietikäinen
Q16855,Matti Pietikäinen
Q16852,Harri Olli
Q16853,Olli Pekkala
Q16858,Sauli Pälli
Q16859,Erkki Pukka
Q16856,Jari Puikkonen
Q16857,Markku Pusenius
Q16867,Edgar Allan Poe
Q16864,Horacio Quiroga
Q16872,Aaron Kwok
Q16873,Juan Carlos Onetti
Q16924,János Bolyai
Q16975,Paul VI
Q16979,Erkki Rajala
Q16977,Deng Xiaoping
Q16983,Rolf Turkka
Q16981,Jouko Törmänen
Q16986,Väinö Tiihonen
Q16984,Niilo Toppila
Q16991,Jani Soininen
Q16988,Liu Shaoqi
Q16989,Pekka Suorsa
Q16996,Vsevolod Solovyov
Q17006,Hemmo Silvennoinen
Q17010,Harry Frantz
Q17013,Kimmo Savolainen
Q17018,Jarkko Saapunki
Q17016,Veikko Salmenranta
Q17026,Juha-Matti Ruuskanen
Q17027,Juhani Ruotsalainen
Q17025,Tapio Räisänen
Q17030,Toivo Reingoldt
Q17031,Pauli Ukkonen
Q17032,Markku Reijonen
Q17033,Esko Rautionaho
Q17079,Lauri Valonen
Q17080,Pentti Uotinen
Q17084,Oiva Valonen
Q17090,Paavo Vierto
Q17089,Ossi-Pekka Valta
Q17095,Risto Vuorinen
Q17093,Rafael Viljamaa
Q17098,Janne Väätäinen
Q17099,Kari Ylianttila
Q17097,Heikki Väisänen
Q17102,Heikki Ylipulli
Q17103,Raimo Ylipulli
Q17100,Janne Ylijärvi
Q17101,Pekka Yliniemi
Q17104,Tuomo Ylipulli
Q17105,Kimmo Yliriesto
Q17131,Pontius Pilatus
Q17135,Soong May-ling
Q17132,Soong Ching-ling
Q17142,George I of Greece
Q17141,Harvey Milk
Q17158,Carles Puyol
Q17163,Johan Cruyff
Q17169,Giovanni Bellini
Q17171,Vasco Rossi
Q17177,Paolo Nespoli
Q17229,Bibiane Schoofs
Q17293,Tenzin Gyatso
Q17410,Zhou Enlai
Q17455,John von Neumann
Q17457,Donald Knuth
Q17490,Jean Marie Dongou
Q17491,Jean-Armel Kana-Biyik
Q17492,Jonathan dos Santos
Q17493,Thiago Alcântara
Q17499,Cesc Fàbregas
Q17500,Xavi heranandez Amaya
Q17507,Gerard Piqué
Q17508,José Manuel Pinto
Q17515,Diego Maradona
Q17518,Mary Anderson
Q17519,Anousheh Ansari
Q17522,Hertha Ayrton
Q17520,Kathleen Antonelli
Q17524,Tabitha Babbitt
Q17525,Sarah Bagley
Q17575,Luigi Dallapiccola
Q17572,Fujiko F. Fujio
Q17579,Tsutomu Yamaguchi
Q17577,Joseph Gallieni
Q17585,Jia Chong
Q17590,Lawrence of Rome
Q17672,Anne Elizabeth Ball
Q17676,Nora Stanton Blatch Barney
Q17693,Kate Bellingham
Q17714,Stephen Hawking
Q17717,Oscar Robertson
Q17764,Sjur Røthe
Q17790,Kangxi Emperor
Q17887,Jack Clayton
Q17891,John Morton Clayton
Q17889,John Middleton Clayton
Q17892,Sappho
Q17893,John Clayton
Q17905,Martin Schulz
Q17919,Wolff Schoemaker
Q17959,Auguste Boissonneau
Q18066,Eduard Uspensky
Q18098,Attila A. Tóth
Q18111,Li Keqiang
Q18113,Wang Qishan
Q18143,Gao Xingjian
Q18163,A. Tóth Sándor
Q18165,Vilmos Aba-Novák
Q18219,A. J. Buckley
Q18222,A. J. Cook
Q18227,Forrest J Ackerman
Q18230,A. Paul Weber
Q18242,María Ignacia Benítez
Q18243,William Bartram
Q18251,Sonja Bernhardt
Q18254,Martha Burton Woodhead Williamson
Q18255,Mary Stuart MacDougall
Q18263,Gina Bianchini
Q18285,Zhu Rongji
Q18301,Li Peng
Q18314,William Bonner
Q18315,Fátima Bernardes
Q18333,Magnus Betnér
Q18349,Ujaku Akita
Q18363,Alfonso XIII of Spain
Q18391,Elie Wiesel
Q18398,Louis Armand
Q18396,Nadija Hordijenko Andrianova
Q18406,Ramón Barea
Q18404,Henri Barbusse
Q18410,Maryse Bastié
Q18408,Horace Barks
Q18414,Ulrich Becker
Q18412,Louis Bastien
Q18413,Louis de Beaufront
Q18417,Édouard Belin
Q18422,Ric Berger
Q18420,Joachim du Bellay
Q18427,Eckhard Bick
Q18425,Marcellin Berthelot
Q18430,Joseph E. Stiglitz
Q18434,Léon Blum
Q18436,Émile Boirac
Q18443,Maurice de Broglie
Q18440,Harold Bolingbroke Mudie
Q18446,Dalibor Brozović
Q18447,Odo Bujwid
Q18445,James Cooke Brown
Q18450,Charles Roden Buxton
Q18448,Osmo Buller
Q18449,Montagu C. Butler
Q18455,Ben Tune
Q18456,Bertha von Suttner
Q18553,Axelle Lemaire
Q18558,David Bowers
Q18567,Arnold Gesell
Q18572,James Bevis
Q18593,Claudio Sanchez
Q18595,Josh Eppard
Q18598,Travis Stever
Q18596,Michael Todd
Q18627,Henry Molaison
Q18630,Mikołaj Sęp Szarzyński
Q18637,Drąsius Kedys
Q18682,Nicholas Zsirai
Q18681,László Zsigmond
Q18685,Elemér Schulek
Q18715,Philip of Burgundy
Q18712,György Klapka
Q18718,Géza Imre
Q18722,Senusret II
Q18720,Nikolay Kovalev
Q18724,Tom Harald Hagen
Q18734,Amenemhat II
Q18735,Kotono Mitsuishi
Q18755,Linn-Kristin Riegelhuth Koren
Q18752,Daniel Elena
Q18753,Roberto Trashorras
Q18759,Oleksandr Horyainov
Q18762,Frank Borman
Q18763,Senusret I
Q18765,Burak Yılmaz
Q18771,Amenemhat I
Q18778,Tímea Nagy
Q18779,Karina Aznavourian
Q18798,Géza Lakatos
Q18797,Wladimir Klitschko
Q18802,Eva Simons
Q18800,Tablo
Q18806,Franz Mehring
Q18804,Rebecca Black
Q18809,Anatoly Lunacharsky
Q18814,Jessie J
Q18823,Matthew Michael Carnahan
Q18821,Wolfram von Eschenbach
Q18828,Cecilia Bartoli
Q18832,Sławomir Mrożek
Q18874,Flavius Victor
Q18881,Aly Cissokho
Q18903,Johann Hugo Wyttenbach
Q18914,Hwang Sun-won
Q18915,Esteban Gutiérrez
Q18913,Giuseppe Fiorelli
Q18918,Sam Witwer
Q18916,Gregory Smith
Q18920,Steve Jablonsky
Q18933,Rhoda Griffis
Q18938,Thomas Jane
Q18947,Laurie Holden
Q18950,Theo de Raadt
Q18953,Peter DeLuise
Q18962,Adrien Rabiot
Q18971,Arthur P. Jacobs
Q18968,James DeGale
Q18978,Santa Maria Faustina Kostka Pinche Putita
Q18976,Ole Gunnar Solskjær
Q18982,Tom Ince
Q18980,Sobekhotep I
Q18988,"Arnulf II, count of Flanders"
Q18989,Ryan Newman
Q18994,Luise Rainer
Q18992,Gregory Itzin
Q18999,Junius Rusticus
Q19006,Princess Elizabeth of Greece and Denmark
Q19007,Philip  Hurepel
Q19004,Skrillex
Q19008,Arthur Balfour
Q19009,Edwin Mattison McMillan
Q19015,Andreas Eschbach
Q19018,Jan Delay
Q19031,Zak Penn
Q19034,Aert de Gelder
Q19032,Jacob Adriaensz Backer
Q19041,Daniel González Güiza
Q19046,Ernst Keil
