Q260,Jean-François Champollion
Q4547,Daniel Craig
Q4573,Sean Connery
Q4578,Laura Ludwig
Q4583,Anne Frank
Q4581,Sara Goller
Q4586,Jonas Reckermann
Q4590,Julius Brink
Q4593,Rajiv Gandhi
Q4599,Raúl Albiol
Q4604,Confucius
Q4605,Sarah Bernhardt
Q4612,Marlene Dietrich
Q4616,Marilyn Monroe
Q4617,Corbin Bleu
Q4622,Francesco Filelfo
Q4631,Mohamed Morsi
Q4636,Barbra Streisand
Q4652,Mary Stewart
Q4671,Matthew Kneale
Q4673,Paul Otto
Q4690,Margaret Wycherly
Q4691,Andre de Kruijff
Q4689,Joan Lorring
Q4695,Jean-Jacques Kieffer
Q4700,Claude Debussy
Q4701,Manfred von Richthofen
Q4715,Moncef Marzouki
Q4723,Charles II de Croÿ
Q4724,Le Corbusier
Q4725,"Elizabeth Smith-Stanley, Countess of Derby"
Q4731,M. J. Hyland
Q4735,John Hamilton
Q4732,Yassine Benzia
Q4738,Corey Dillon
Q4737,Porfirio Lobo Sosa
Q4742,Manoel da Costa Ataíde
Q4740,Júnior César Moreira da Cunha
Q4749,Antal Ádám
Q4752,Jenő Ábel
Q4757,Yves Mariot
Q4762,Roy Budd
Q4761,Ernst Mielck
Q4770,Solko van den Bergh
Q4768,Karl Bryullov
Q4769,Anthony Sweijs
Q4774,András Fáy
Q4783,Ella Gjømle
Q4786,Marie-Jean-Léon d'Hervey de Saint Denys
Q4790,Michele Pellizzer
Q4806,Greg Merson
Q4807,Roman Matveevich Semashkevich
Q4805,Nicholas Prokopievich Miholaps
Q4813,Lady Ann Cunningham
Q4826,Rosa Valetti
Q4835,Rafał Bigus
Q4832,Jana Šenková
Q4833,Marcel Doret
Q4836,Tomasz Jankowski
Q4837,Maciej Zieliński
Q4866,Chris Hooijkaas
Q4864,Eugene Kaspersky
Q4876,Jan de Kreek
Q4883,Ron Howard
Q4881,Anne Hamilton
Q4891,Uilke Vuurman
Q4889,Marcus Ravenswaaij
Q4899,Francis Marrash
Q4896,"William Hamilton, Duke of Hamilton"
Q4914,Jimmy Kimmel
Q4922,Eugenio Calabi
Q4926,Birger Kildal
Q4924,"Isabella I, Queen of Armenia"
Q4931,Wang Tao
Q4934,Larry Page
Q4933,Otto Richard Kierulf
Q4960,Jason Lee
Q4985,Herman Melville
Q4991,Emperor Taizong of Liao
Q4989,Emperor Taizu of Liao
Q4992,Emperor Shizong of Liao
Q4993,Emperor Muzong of Liao
Q4997,Emperor Jingzong of Liao
Q5000,Emperor Shengzong of Liao
Q5007,Emperor Daozong of Liao
Q5005,Emperor Xingzong of Liao
Q5009,Emperor Tianzuo of Liao
Q5015,Mette Frederiksen
Q5024,Abel Xavier
Q5031,Elder Paisios of Mount Athos
Q5028,Britta Thomsen
Q5040,James Meredith
Q5060,Emperor Taizu of Jin
Q5070,Emperor Taizong of Jin
Q5071,Emperor Xizong of Jin
Q5069,Emperor Modi of Jin
Q5074,Emperor Zhangzong of Jin
Q5072,Emperor Hailingwang of Jin
Q5073,Emperor Shizong of Jin
Q5076,Wanyan Yongji
Q5080,Emperor Xuanzong of Jin
Q5081,Emperor Aizong of Jin
Q5104,Miranda Cosgrove
Q5105,Céline Dion
Q5117,Eugen Polanski
Q5152,Mustafa Kemal Atatürk
Q5167,Ramesses VI
Q5170,Blondel de Nesle
Q5169,Bertrand de Bar-sur-Aube
Q5172,Jean Bodel
Q5198,Walter of Châtillon
Q5199,Le Chastelain de Couci
Q5197,Gace Brulé
Q5201,Raimbaut of Orange
Q5208,Huang Xianfan
Q5220,Tibors de Sarenom
Q5233,François-Édouard Picot
Q5236,Edward II of England
Q5254,Folquet de Marselha
